id	name	set
0	MEDIAEVAL00000.mp4	0
1	MEDIAEVAL00001.mp4	0
2	MEDIAEVAL00002.mp4	0
3	MEDIAEVAL00003.mp4	0
4	MEDIAEVAL00004.mp4	0
5	MEDIAEVAL00005.mp4	0
6	MEDIAEVAL00006.mp4	0
7	MEDIAEVAL00007.mp4	0
8	MEDIAEVAL00008.mp4	0
9	MEDIAEVAL00009.mp4	0
10	MEDIAEVAL00010.mp4	0
11	MEDIAEVAL00011.mp4	0
12	MEDIAEVAL00012.mp4	0
13	MEDIAEVAL00013.mp4	0
14	MEDIAEVAL00014.mp4	0
15	MEDIAEVAL00015.mp4	0
16	MEDIAEVAL00016.mp4	0
17	MEDIAEVAL00017.mp4	0
18	MEDIAEVAL00018.mp4	0
19	MEDIAEVAL00019.mp4	0
20	MEDIAEVAL00020.mp4	0
21	MEDIAEVAL00021.mp4	0
22	MEDIAEVAL00022.mp4	0
23	MEDIAEVAL00023.mp4	0
24	MEDIAEVAL00024.mp4	0
25	MEDIAEVAL00025.mp4	0
26	MEDIAEVAL00026.mp4	0
27	MEDIAEVAL00027.mp4	0
28	MEDIAEVAL00028.mp4	0
29	MEDIAEVAL00029.mp4	0
30	MEDIAEVAL00030.mp4	0
31	MEDIAEVAL00031.mp4	0
32	MEDIAEVAL00032.mp4	0
33	MEDIAEVAL00033.mp4	0
34	MEDIAEVAL00034.mp4	0
35	MEDIAEVAL00035.mp4	0
36	MEDIAEVAL00036.mp4	0
37	MEDIAEVAL00037.mp4	0
38	MEDIAEVAL00038.mp4	0
39	MEDIAEVAL00039.mp4	0
40	MEDIAEVAL00040.mp4	0
41	MEDIAEVAL00041.mp4	0
42	MEDIAEVAL00042.mp4	0
43	MEDIAEVAL00043.mp4	0
44	MEDIAEVAL00044.mp4	0
45	MEDIAEVAL00045.mp4	0
46	MEDIAEVAL00046.mp4	0
47	MEDIAEVAL00047.mp4	0
48	MEDIAEVAL00048.mp4	0
49	MEDIAEVAL00049.mp4	0
50	MEDIAEVAL00050.mp4	0
51	MEDIAEVAL00051.mp4	0
52	MEDIAEVAL00052.mp4	0
53	MEDIAEVAL00053.mp4	0
54	MEDIAEVAL00054.mp4	0
55	MEDIAEVAL00055.mp4	0
56	MEDIAEVAL00056.mp4	0
57	MEDIAEVAL00057.mp4	0
58	MEDIAEVAL00058.mp4	0
59	MEDIAEVAL00059.mp4	0
60	MEDIAEVAL00060.mp4	0
61	MEDIAEVAL00061.mp4	0
62	MEDIAEVAL00062.mp4	0
63	MEDIAEVAL00063.mp4	0
64	MEDIAEVAL00064.mp4	0
65	MEDIAEVAL00065.mp4	0
66	MEDIAEVAL00066.mp4	0
67	MEDIAEVAL00067.mp4	0
68	MEDIAEVAL00068.mp4	0
69	MEDIAEVAL00069.mp4	0
70	MEDIAEVAL00070.mp4	0
71	MEDIAEVAL00071.mp4	0
72	MEDIAEVAL00072.mp4	0
73	MEDIAEVAL00073.mp4	0
74	MEDIAEVAL00074.mp4	0
75	MEDIAEVAL00075.mp4	0
76	MEDIAEVAL00076.mp4	0
77	MEDIAEVAL00077.mp4	0
78	MEDIAEVAL00078.mp4	0
79	MEDIAEVAL00079.mp4	0
80	MEDIAEVAL00080.mp4	0
81	MEDIAEVAL00081.mp4	0
82	MEDIAEVAL00082.mp4	0
83	MEDIAEVAL00083.mp4	0
84	MEDIAEVAL00084.mp4	0
85	MEDIAEVAL00085.mp4	0
86	MEDIAEVAL00086.mp4	0
87	MEDIAEVAL00087.mp4	0
88	MEDIAEVAL00088.mp4	0
89	MEDIAEVAL00089.mp4	0
90	MEDIAEVAL00090.mp4	0
91	MEDIAEVAL00091.mp4	0
92	MEDIAEVAL00092.mp4	0
93	MEDIAEVAL00093.mp4	0
94	MEDIAEVAL00094.mp4	0
95	MEDIAEVAL00095.mp4	0
96	MEDIAEVAL00096.mp4	0
97	MEDIAEVAL00097.mp4	0
98	MEDIAEVAL00098.mp4	0
99	MEDIAEVAL00099.mp4	0
100	MEDIAEVAL00100.mp4	0
101	MEDIAEVAL00101.mp4	0
102	MEDIAEVAL00102.mp4	0
103	MEDIAEVAL00103.mp4	0
104	MEDIAEVAL00104.mp4	0
105	MEDIAEVAL00105.mp4	0
106	MEDIAEVAL00106.mp4	0
107	MEDIAEVAL00107.mp4	0
108	MEDIAEVAL00108.mp4	0
109	MEDIAEVAL00109.mp4	0
110	MEDIAEVAL00110.mp4	0
111	MEDIAEVAL00111.mp4	0
112	MEDIAEVAL00112.mp4	0
113	MEDIAEVAL00113.mp4	0
114	MEDIAEVAL00114.mp4	0
115	MEDIAEVAL00115.mp4	0
116	MEDIAEVAL00116.mp4	0
117	MEDIAEVAL00117.mp4	0
118	MEDIAEVAL00118.mp4	0
119	MEDIAEVAL00119.mp4	0
120	MEDIAEVAL00120.mp4	0
121	MEDIAEVAL00121.mp4	0
122	MEDIAEVAL00122.mp4	0
123	MEDIAEVAL00123.mp4	0
124	MEDIAEVAL00124.mp4	0
125	MEDIAEVAL00125.mp4	0
126	MEDIAEVAL00126.mp4	0
127	MEDIAEVAL00127.mp4	0
128	MEDIAEVAL00128.mp4	0
129	MEDIAEVAL00129.mp4	0
130	MEDIAEVAL00130.mp4	0
131	MEDIAEVAL00131.mp4	0
132	MEDIAEVAL00132.mp4	0
133	MEDIAEVAL00133.mp4	0
134	MEDIAEVAL00134.mp4	0
135	MEDIAEVAL00135.mp4	0
136	MEDIAEVAL00136.mp4	0
137	MEDIAEVAL00137.mp4	0
138	MEDIAEVAL00138.mp4	0
139	MEDIAEVAL00139.mp4	0
140	MEDIAEVAL00140.mp4	0
141	MEDIAEVAL00141.mp4	0
142	MEDIAEVAL00142.mp4	0
143	MEDIAEVAL00143.mp4	0
144	MEDIAEVAL00144.mp4	0
145	MEDIAEVAL00145.mp4	0
146	MEDIAEVAL00146.mp4	0
147	MEDIAEVAL00147.mp4	0
148	MEDIAEVAL00148.mp4	0
149	MEDIAEVAL00149.mp4	0
150	MEDIAEVAL00150.mp4	0
151	MEDIAEVAL00151.mp4	0
152	MEDIAEVAL00152.mp4	0
153	MEDIAEVAL00153.mp4	0
154	MEDIAEVAL00154.mp4	0
155	MEDIAEVAL00155.mp4	0
156	MEDIAEVAL00156.mp4	0
157	MEDIAEVAL00157.mp4	0
158	MEDIAEVAL00158.mp4	0
159	MEDIAEVAL00159.mp4	0
160	MEDIAEVAL00160.mp4	0
161	MEDIAEVAL00161.mp4	0
162	MEDIAEVAL00162.mp4	0
163	MEDIAEVAL00163.mp4	0
164	MEDIAEVAL00164.mp4	0
165	MEDIAEVAL00165.mp4	0
166	MEDIAEVAL00166.mp4	0
167	MEDIAEVAL00167.mp4	0
168	MEDIAEVAL00168.mp4	0
169	MEDIAEVAL00169.mp4	0
170	MEDIAEVAL00170.mp4	0
171	MEDIAEVAL00171.mp4	0
172	MEDIAEVAL00172.mp4	0
173	MEDIAEVAL00173.mp4	0
174	MEDIAEVAL00174.mp4	0
175	MEDIAEVAL00175.mp4	0
176	MEDIAEVAL00176.mp4	0
177	MEDIAEVAL00177.mp4	0
178	MEDIAEVAL00178.mp4	0
179	MEDIAEVAL00179.mp4	0
180	MEDIAEVAL00180.mp4	0
181	MEDIAEVAL00181.mp4	0
182	MEDIAEVAL00182.mp4	0
183	MEDIAEVAL00183.mp4	0
184	MEDIAEVAL00184.mp4	0
185	MEDIAEVAL00185.mp4	0
186	MEDIAEVAL00186.mp4	0
187	MEDIAEVAL00187.mp4	0
188	MEDIAEVAL00188.mp4	0
189	MEDIAEVAL00189.mp4	0
190	MEDIAEVAL00190.mp4	0
191	MEDIAEVAL00191.mp4	0
192	MEDIAEVAL00192.mp4	0
193	MEDIAEVAL00193.mp4	0
194	MEDIAEVAL00194.mp4	0
195	MEDIAEVAL00195.mp4	0
196	MEDIAEVAL00196.mp4	0
197	MEDIAEVAL00197.mp4	0
