id	name	violence
0	MEDIAEVAL00000	0
1	MEDIAEVAL00001	0
2	MEDIAEVAL00002	0
3	MEDIAEVAL00003	0
4	MEDIAEVAL00004	0
5	MEDIAEVAL00005	0
6	MEDIAEVAL00006	0
7	MEDIAEVAL00007	0
8	MEDIAEVAL00008	0
9	MEDIAEVAL00009	0
10	MEDIAEVAL00010	0
11	MEDIAEVAL00011	0
12	MEDIAEVAL00012	0
13	MEDIAEVAL00013	0
14	MEDIAEVAL00014	0
15	MEDIAEVAL00015	0
16	MEDIAEVAL00016	0
17	MEDIAEVAL00017	0
18	MEDIAEVAL00018	0
19	MEDIAEVAL00019	0
20	MEDIAEVAL00020	0
21	MEDIAEVAL00021	0
22	MEDIAEVAL00022	0
23	MEDIAEVAL00023	0
24	MEDIAEVAL00024	0
25	MEDIAEVAL00025	0
26	MEDIAEVAL00026	0
27	MEDIAEVAL00027	0
28	MEDIAEVAL00028	0
29	MEDIAEVAL00029	0
30	MEDIAEVAL00030	0
31	MEDIAEVAL00031	0
32	MEDIAEVAL00032	0
33	MEDIAEVAL00033	0
34	MEDIAEVAL00034	0
35	MEDIAEVAL00035	0
36	MEDIAEVAL00036	0
37	MEDIAEVAL00037	0
38	MEDIAEVAL00038	0
39	MEDIAEVAL00039	0
40	MEDIAEVAL00040	0
41	MEDIAEVAL00041	0
42	MEDIAEVAL00042	0
43	MEDIAEVAL00043	0
44	MEDIAEVAL00044	0
45	MEDIAEVAL00045	0
46	MEDIAEVAL00046	0
47	MEDIAEVAL00047	0
48	MEDIAEVAL00048	0
49	MEDIAEVAL00049	0
50	MEDIAEVAL00050	0
51	MEDIAEVAL00051	0
52	MEDIAEVAL00052	0
53	MEDIAEVAL00053	0
54	MEDIAEVAL00054	0
55	MEDIAEVAL00055	0
56	MEDIAEVAL00056	0
57	MEDIAEVAL00057	0
58	MEDIAEVAL00058	0
59	MEDIAEVAL00059	0
60	MEDIAEVAL00060	0
61	MEDIAEVAL00061	0
62	MEDIAEVAL00062	0
63	MEDIAEVAL00063	0
64	MEDIAEVAL00064	0
65	MEDIAEVAL00065	0
66	MEDIAEVAL00066	0
67	MEDIAEVAL00067	0
68	MEDIAEVAL00068	0
69	MEDIAEVAL00069	0
70	MEDIAEVAL00070	0
71	MEDIAEVAL00071	0
72	MEDIAEVAL00072	0
73	MEDIAEVAL00073	0
74	MEDIAEVAL00074	0
75	MEDIAEVAL00075	0
76	MEDIAEVAL00076	0
77	MEDIAEVAL00077	0
78	MEDIAEVAL00078	0
79	MEDIAEVAL00079	0
80	MEDIAEVAL00080	0
81	MEDIAEVAL00081	0
82	MEDIAEVAL00082	0
83	MEDIAEVAL00083	0
84	MEDIAEVAL00084	0
85	MEDIAEVAL00085	0
86	MEDIAEVAL00086	0
87	MEDIAEVAL00087	0
88	MEDIAEVAL00088	0
89	MEDIAEVAL00089	0
90	MEDIAEVAL00090	0
91	MEDIAEVAL00091	0
92	MEDIAEVAL00092	0
93	MEDIAEVAL00093	0
94	MEDIAEVAL00094	0
95	MEDIAEVAL00095	0
96	MEDIAEVAL00096	0
97	MEDIAEVAL00097	0
98	MEDIAEVAL00098	0
99	MEDIAEVAL00099	0
100	MEDIAEVAL00100	0
101	MEDIAEVAL00101	0
102	MEDIAEVAL00102	0
103	MEDIAEVAL00103	0
104	MEDIAEVAL00104	0
105	MEDIAEVAL00105	0
106	MEDIAEVAL00106	0
107	MEDIAEVAL00107	0
108	MEDIAEVAL00108	0
109	MEDIAEVAL00109	0
110	MEDIAEVAL00110	0
111	MEDIAEVAL00111	0
112	MEDIAEVAL00112	0
113	MEDIAEVAL00113	0
114	MEDIAEVAL00114	0
115	MEDIAEVAL00115	0
116	MEDIAEVAL00116	0
117	MEDIAEVAL00117	0
118	MEDIAEVAL00118	0
119	MEDIAEVAL00119	0
120	MEDIAEVAL00120	0
121	MEDIAEVAL00121	0
122	MEDIAEVAL00122	0
123	MEDIAEVAL00123	0
124	MEDIAEVAL00124	0
125	MEDIAEVAL00125	0
126	MEDIAEVAL00126	0
127	MEDIAEVAL00127	0
128	MEDIAEVAL00128	0
129	MEDIAEVAL00129	0
130	MEDIAEVAL00130	0
131	MEDIAEVAL00131	0
132	MEDIAEVAL00132	0
133	MEDIAEVAL00133	0
134	MEDIAEVAL00134	0
135	MEDIAEVAL00135	0
136	MEDIAEVAL00136	0
137	MEDIAEVAL00137	0
138	MEDIAEVAL00138	0
139	MEDIAEVAL00139	0
140	MEDIAEVAL00140	0
141	MEDIAEVAL00141	0
142	MEDIAEVAL00142	0
143	MEDIAEVAL00143	0
144	MEDIAEVAL00144	0
145	MEDIAEVAL00145	0
146	MEDIAEVAL00146	0
147	MEDIAEVAL00147	0
148	MEDIAEVAL00148	0
149	MEDIAEVAL00149	0
150	MEDIAEVAL00150	0
151	MEDIAEVAL00151	0
152	MEDIAEVAL00152	0
153	MEDIAEVAL00153	0
154	MEDIAEVAL00154	0
155	MEDIAEVAL00155	0
156	MEDIAEVAL00156	0
157	MEDIAEVAL00157	0
158	MEDIAEVAL00158	0
159	MEDIAEVAL00159	0
160	MEDIAEVAL00160	0
161	MEDIAEVAL00161	0
162	MEDIAEVAL00162	0
163	MEDIAEVAL00163	0
164	MEDIAEVAL00164	0
165	MEDIAEVAL00165	0
166	MEDIAEVAL00166	0
167	MEDIAEVAL00167	0
168	MEDIAEVAL00168	0
169	MEDIAEVAL00169	0
170	MEDIAEVAL00170	0
171	MEDIAEVAL00171	0
172	MEDIAEVAL00172	0
173	MEDIAEVAL00173	0
174	MEDIAEVAL00174	0
175	MEDIAEVAL00175	0
176	MEDIAEVAL00176	0
177	MEDIAEVAL00177	0
178	MEDIAEVAL00178	0
179	MEDIAEVAL00179	0
180	MEDIAEVAL00180	0
181	MEDIAEVAL00181	0
182	MEDIAEVAL00182	0
183	MEDIAEVAL00183	0
184	MEDIAEVAL00184	0
185	MEDIAEVAL00185	0
186	MEDIAEVAL00186	0
187	MEDIAEVAL00187	0
188	MEDIAEVAL00188	0
189	MEDIAEVAL00189	0
190	MEDIAEVAL00190	0
191	MEDIAEVAL00191	0
192	MEDIAEVAL00192	0
193	MEDIAEVAL00193	0
194	MEDIAEVAL00194	0
195	MEDIAEVAL00195	0
196	MEDIAEVAL00196	0
197	MEDIAEVAL00197	0
198	MEDIAEVAL00198	0
199	MEDIAEVAL00199	0
200	MEDIAEVAL00200	0
201	MEDIAEVAL00201	0
202	MEDIAEVAL00202	0
203	MEDIAEVAL00203	0
204	MEDIAEVAL00204	0
205	MEDIAEVAL00205	0
206	MEDIAEVAL00206	0
207	MEDIAEVAL00207	0
208	MEDIAEVAL00208	0
209	MEDIAEVAL00209	0
210	MEDIAEVAL00210	0
211	MEDIAEVAL00211	0
