audioID,loudnessMin, loudnessMax, perceptualSharpnessMin, perceptualSharpnessMax, perceptualSpreadMin, perceptualSpreadMax, obsiMin, obsiMax,obsirMin, obsirMax
ACCEDE08498, 0.0015301464827871872, 0.2820291847808917, 0.7972961367728559, 3.212284785253229, 0.515482091506391, 0.8870533637326911, -12.49496697562551, 8.168255949756613, -8.657624447648203, 5.875317907090075
ACCEDE07973, 0.0012839165748560692, 0.21607581272520868, 0.6590702104396804, 2.536987941268056, 0.6145371313944421, 0.8789530238527999, -15.309906005631046, 8.067122721086752, -7.503946584130791, 6.992439281840478
ACCEDE09786, 0.0017628701811103018, 0.18756468815873661, 0.7300751861850358, 2.6515890648589604, 0.6600511359266109, 0.8781771313974351, -11.760065036292147, 7.89232057776316, -5.499410557190336, 4.827055499231901
ACCEDE05802, 0.0011844358936631346, 0.17301883114825908, 0.7076840636909456, 2.7137382161154484, 0.6838978536353916, 0.8842839460740365, -12.691948897807544, 8.350426154303692, -7.156613848017672, 5.725465861640907
ACCEDE05816, 0.002398030503019995, 0.2020612809656449, 0.6977896395191538, 2.8280016860479273, 0.6367061993341875, 0.8629333453291911, -12.51525613260485, 6.079198533818494, -5.650526254990961, 7.631291434959046
ACCEDE07967, 0.0012714892835057993, 0.16790817869351063, 0.7647520760895383, 2.752988601844298, 0.6923767990851507, 0.8753258617809042, -12.934740875408124, 8.625161214113108, -5.920726820590029, 4.219397305143339
ACCEDE09792, 0.0055194736456897495, 0.26421865177293613, 1.0821116836603062, 3.1192810201451264, 0.5413741923988358, 0.9006865529897935, -10.616786409664499, 3.428876143785729, -4.136740740806102, 5.501118956488099
ACCEDE07797, 0.0014317413054708134, 0.17608168973221466, 1.3804939751660412, 2.9486519177618087, 0.6788413819945227, 0.8898522980607418, -10.876570933722679, 10.724725893379023, -3.906223032513821, 6.136048123544489
ACCEDE06489, 0.001802624635793327, 0.25368353901319834, 0.9399899852754309, 2.7174631875446207, 0.5569882599398641, 0.9009242847655932, -11.459199017567542, 7.495599772852946, -5.488835722300266, 6.9412643478662845
ACCEDE05180, 0.0012687460805686558, 0.20905580166432466, 0.6996028313272442, 3.111676207556733, 0.625592724880864, 0.890506801787708, -11.098740077127276, 7.853692673284705, -6.553100374263487, 7.781925061483924
ACCEDE02837, 0.0010591577158833405, 0.1983760310543753, 0.8301831186102901, 3.751586806885263, 0.6426009875881359, 0.9016856796810101, -12.936344022716524, 9.719431304009726, -8.661030209036717, 8.3596292070103
ACCEDE03297, 0.00153922449438146, 0.3759950365959382, 0.5053530938867965, 2.372260181252858, 0.3893821943529046, 0.8879324208103341, -12.382343027447604, 8.046912026529895, -6.942450166397441, 6.773114008834652
ACCEDE02189, 0.0015153500717533248, 0.2961883211829438, 0.6060325316880835, 3.1345998417700778, 0.49535087923928306, 0.8994763727196569, -12.327112662692203, 8.080434283332798, -7.82490192167611, 7.36286088314888
ACCEDE00946, 0.0016151336053125437, 0.15861525698850512, 1.0891329775435006, 2.8378013459884484, 0.7079282857725193, 0.8863495046995168, -11.9370756432047, 8.627743730553881, -6.800383191373692, 7.035511853559216
ACCEDE01480, 0.0011338169899867598, 0.43504862629469204, 0.6112005999774521, 2.112808795656367, 0.3191700546515146, 0.8789000886177444, -11.540901193232282, 9.01804563380288, -11.328142822941478, 6.796002089032164
ACCEDE00952, 0.0014214610025719357, 0.1752121300469162, 1.0861025919909497, 2.653805106958532, 0.6802750304217452, 0.8961872359505354, -6.134656462431845, 8.842813250991007, -6.008628827808302, 7.53684817353231
ACCEDE01494, 0.0009829823518999205, 0.4826894082531185, 0.6641751451591196, 3.292042760977458, 0.2676102483335086, 0.8561419965932535, -42.95140866809929, 8.489768328837924, -11.04808650252592, 7.378166127758261
ACCEDE03283, 0.001374451805635107, 0.22375405730607567, 0.8001657810591292, 2.7379162008576476, 0.6025577635487792, 0.89777232911833, -11.820787986459575, 7.856436296460461, -8.856892381563535, 4.698418367495555
ACCEDE05194, 0.002144710457815811, 0.20356103394332678, 0.7993865280500405, 2.5751782147597386, 0.6343150266534227, 0.8957869088825415, -12.242363268117778, 6.704483437359197, -7.532434390684723, 5.9080799553094705
ACCEDE02823, 0.0010730883749063033, 0.178349995982931, 0.8829529673310953, 2.923651053798687, 0.6751087291012495, 0.8835894328323016, -11.636147302879872, 8.451418681789148, -7.251237875421495, 6.323034826009941
ACCEDE07783, 0.0015015795081126202, 0.21364126373000336, 0.7266987724292968, 2.7935640055553144, 0.6183600621081461, 0.8803520896029725, -11.681703958480583, 9.449345353826233, -4.881052716284566, 5.104480849933979
ACCEDE01319, 0.002190657841726495, 0.28554833995303225, 0.8921628380409008, 2.73010165780894, 0.510441174543868, 0.892860218528771, -11.587444824948555, 7.8119195902671965, -6.046859038091874, 7.901152382150807
ACCEDE09745, 0.0013439480020208236, 0.19768518879885008, 1.1021461997792998, 3.634513181605133, 0.6437090562727368, 0.8997524975860629, -13.724906656163848, 9.411383668555919, -6.807928140031897, 8.361114071052487
ACCEDE06476, 0.0021626102651754755, 0.14592243772242083, 0.8830061410362929, 3.298324418721722, 0.7294484823860121, 0.9005529590400481, -12.779483918025925, 7.272514190886821, -5.215292078173447, 8.100291735051275
ACCEDE07768, 0.0011255204386235334, 0.33704962968191476, 0.6370425094621505, 3.0676117125310887, 0.43950319350488637, 0.8746199121527081, -11.238830977627394, 9.216456419415834, -5.778853839944813, 6.330901095305782
