id,name,violence
0,ACCEDE00000,0
1,ACCEDE00001,0
2,ACCEDE00002,0
3,ACCEDE00003,0
4,ACCEDE00004,0
5,ACCEDE00005,0
6,ACCEDE00006,0
7,ACCEDE00007,0
8,ACCEDE00008,0
9,ACCEDE00009,0
10,ACCEDE00010,0
11,ACCEDE00011,0
12,ACCEDE00012,0
13,ACCEDE00013,0
14,ACCEDE00014,0
15,ACCEDE00015,0
16,ACCEDE00016,0
17,ACCEDE00017,0
18,ACCEDE00018,0
19,ACCEDE00019,0
20,ACCEDE00020,0
21,ACCEDE00021,0
22,ACCEDE00022,0
23,ACCEDE00023,0
24,ACCEDE00024,0
25,ACCEDE00025,0
26,ACCEDE00026,0
27,ACCEDE00027,0
28,ACCEDE00028,0
29,ACCEDE00029,0
30,ACCEDE00030,0
31,ACCEDE00031,0
32,ACCEDE00032,0
33,ACCEDE00033,0
34,ACCEDE00034,0
35,ACCEDE00035,0
36,ACCEDE00036,0
37,ACCEDE00037,0
38,ACCEDE00038,0
39,ACCEDE00039,0
40,ACCEDE00040,0
41,ACCEDE00041,0
42,ACCEDE00042,0
43,ACCEDE00043,0
44,ACCEDE00044,0
45,ACCEDE00045,0
46,ACCEDE00046,0
47,ACCEDE00047,0
48,ACCEDE00048,0
49,ACCEDE00049,0
50,ACCEDE00050,0
51,ACCEDE00051,0
52,ACCEDE00052,0
53,ACCEDE00053,0
54,ACCEDE00054,1
55,ACCEDE00055,0
56,ACCEDE00056,0
57,ACCEDE00057,0
58,ACCEDE00058,0
59,ACCEDE00059,0
60,ACCEDE00060,0
61,ACCEDE00061,0
62,ACCEDE00062,0
63,ACCEDE00063,0
64,ACCEDE00064,0
65,ACCEDE00065,0
66,ACCEDE00066,0
67,ACCEDE00067,0
68,ACCEDE00068,0
69,ACCEDE00069,0
70,ACCEDE00070,0
71,ACCEDE00071,0
72,ACCEDE00072,0
73,ACCEDE00073,0
74,ACCEDE00074,0
75,ACCEDE00075,0
76,ACCEDE00076,0
77,ACCEDE00077,0
78,ACCEDE00078,0
79,ACCEDE00079,0
80,ACCEDE00080,0
81,ACCEDE00081,0
82,ACCEDE00082,0
83,ACCEDE00083,0
84,ACCEDE00084,0
85,ACCEDE00085,0
86,ACCEDE00086,1
87,ACCEDE00087,0
88,ACCEDE00088,0
89,ACCEDE00089,0
90,ACCEDE00090,0
91,ACCEDE00091,0
92,ACCEDE00092,0
93,ACCEDE00093,0
94,ACCEDE00094,0
95,ACCEDE00095,0
96,ACCEDE00096,0
97,ACCEDE00097,1
98,ACCEDE00098,0
99,ACCEDE00099,0
100,ACCEDE00100,0
101,ACCEDE00101,0
102,ACCEDE00102,0
103,ACCEDE00103,0
104,ACCEDE00104,0
105,ACCEDE00105,1
106,ACCEDE00106,0
107,ACCEDE00107,0
108,ACCEDE00108,0
109,ACCEDE00109,0
110,ACCEDE00110,1
111,ACCEDE00111,0
112,ACCEDE00112,0
113,ACCEDE00113,1
114,ACCEDE00114,0
115,ACCEDE00115,1
116,ACCEDE00116,1
117,ACCEDE00117,0
118,ACCEDE00118,1
119,ACCEDE00119,0
120,ACCEDE00120,0
121,ACCEDE00121,0
122,ACCEDE00122,0
123,ACCEDE00123,0
124,ACCEDE00124,0
125,ACCEDE00125,0
126,ACCEDE00126,0
127,ACCEDE00127,0
128,ACCEDE00128,0
129,ACCEDE00129,0
130,ACCEDE00130,1
131,ACCEDE00131,1
132,ACCEDE00132,1
133,ACCEDE00133,1
134,ACCEDE00134,0
135,ACCEDE00135,0
136,ACCEDE00136,0
137,ACCEDE00137,0
138,ACCEDE00138,0
139,ACCEDE00139,0
140,ACCEDE00140,0
141,ACCEDE00141,0
142,ACCEDE00142,0
143,ACCEDE00143,0
144,ACCEDE00144,0
145,ACCEDE00145,0
146,ACCEDE00146,0
147,ACCEDE00147,0
148,ACCEDE00148,0
149,ACCEDE00149,0
150,ACCEDE00150,0
151,ACCEDE00151,0
152,ACCEDE00152,0
153,ACCEDE00153,0
154,ACCEDE00154,0
155,ACCEDE00155,0
156,ACCEDE00156,0
157,ACCEDE00157,0
158,ACCEDE00158,0
159,ACCEDE00159,0
160,ACCEDE00160,0
161,ACCEDE00161,0
162,ACCEDE00162,0
